City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Klaksvik,FO,62.2266,-6.589,32.0,69,20,8.05,light snow
286,Cockburn Town,TC,21.4612,-71.1419,80.6,69,40,13.8,scattered clouds
287,Torbay,CA,47.6666,-52.7314,41.0,87,75,23.02,broken clouds
288,Meadow Lake,US,34.8014,-106.5436,50.0,24,1,5.75,clear sky
289,Reforma,MX,18.1,-91.0167,83.77,56,0,6.62,clear sky
290,Roma,US,43.2128,-75.4557,42.8,56,90,16.11,overcast clouds
291,Haapiti,PF,-17.5667,-149.8667,82.0,65,51,1.99,broken clouds
292,Porto De Moz,BR,-1.7483,-52.2383,92.97,44,82,4.38,broken clouds
293,Yulara,AU,-25.2406,130.9889,68.0,32,0,9.22,clear sky
294,Riverton,US,40.5219,-111.9391,35.01,93,90,13.8,snow
295,Chara,RU,56.9064,118.2631,-12.37,75,100,0.96,overcast clouds
296,Antibes,FR,43.5624,7.1278,57.2,82,0,14.97,clear sky
297,Otjimbingwe,NA,-22.35,16.1333,83.68,36,68,7.2,broken clouds
298,Preobrazheniye,RU,42.9019,133.9064,25.36,92,92,7.23,overcast clouds
299,Diamantino,BR,-14.4086,-56.4461,88.18,60,57,5.66,broken clouds
300,Bognor Regis,GB,50.7821,-0.6798,46.0,94,19,11.14,light rain
301,Jinan,CN,36.6683,116.9972,44.98,49,0,6.67,clear sky
302,Lasa,IT,46.6166,10.7002,39.0,86,0,2.91,clear sky
303,Dunedin,NZ,-45.8742,170.5036,55.99,73,99,15.99,overcast clouds
304,Miraflores,MX,19.2167,-98.8083,77.0,13,1,4.61,clear sky
305,Kamenka,RU,51.3223,42.7678,17.01,86,100,14.0,overcast clouds
306,Berndorf,AT,47.9457,16.1097,45.0,85,100,0.89,overcast clouds
307,Tank,PK,32.2217,70.3793,53.76,55,0,0.85,clear sky
308,Dombarovskiy,RU,50.7587,59.5386,32.05,98,100,19.1,overcast clouds
309,Tateyama,JP,34.9833,139.8667,42.8,75,75,11.5,broken clouds
310,Radcliff,US,37.8404,-85.9491,41.0,48,1,17.27,clear sky
311,Maryville,US,35.7565,-83.9705,48.0,39,20,12.66,few clouds
312,Lovozero,RU,68.005,35.0117,11.14,96,100,3.76,overcast clouds
313,Nakusp,CA,50.2499,-117.8023,37.4,81,55,2.3,broken clouds
314,Jinchang,CN,38.4953,102.1739,31.01,62,0,4.0,clear sky
315,Fairbanks,US,64.8378,-147.7164,-18.4,69,75,3.24,broken clouds
316,Udachnyy,RU,66.4167,112.4,-37.44,80,52,2.01,broken clouds
317,Touros,BR,-5.1989,-35.4608,86.0,51,0,14.97,clear sky
318,Seoul,KR,37.5683,126.9778,39.2,75,75,5.75,broken clouds
319,Georgetown,MY,5.4112,100.3354,82.4,83,20,4.45,few clouds
320,Nova Olinda Do Norte,BR,-3.8881,-59.0942,91.54,56,31,4.61,scattered clouds
321,Peniche,PT,39.3558,-9.3811,54.0,82,100,11.01,overcast clouds
322,Awbari,LY,26.5921,12.7805,61.32,30,0,10.51,clear sky
323,Sur,OM,22.5667,59.5289,64.67,67,0,3.89,clear sky
324,Clarence Town,AU,-32.5833,151.7833,73.0,78,100,8.05,overcast clouds
325,Ziway,ET,7.9333,38.7167,72.7,29,85,8.37,overcast clouds
326,Pangnirtung,CA,66.1451,-65.7125,10.4,79,90,12.66,snow
327,Ipameri,BR,-17.7219,-48.1597,81.09,74,100,6.64,overcast clouds
328,Marsh Harbour,BS,26.5412,-77.0636,72.97,64,0,15.32,clear sky
329,Manta,EC,-0.95,-80.7333,82.4,74,75,6.91,broken clouds
330,Port Hardy,CA,50.6996,-127.4199,44.6,81,40,8.05,scattered clouds
331,Nemuro,JP,43.3236,145.575,27.97,90,100,13.2,light snow
332,Airai,TL,-8.9266,125.4092,61.43,100,100,3.31,light rain
333,Shimoda,JP,34.6667,138.95,45.0,55,57,3.0,broken clouds
334,Keffi,NG,8.8486,7.8736,91.4,25,0,3.44,clear sky
